Raw Data,Descriptive VarNames Components,,,,,TidySet,Units,Variable
Variable Name,Fast Fourier Domain,Force Decomposition,Motion Composition,Coordinate System Projection Axis,Sensor Sampling Aggregation Type,Variable Name,,Description
activity,,,,,,activity,,"From the list of study activities: Walking, Walking Upstairs, Walking Downstairs, Sitting, Standing, Laying"
subjectID, ,,,,,subjectID,,IDs range from 1-30.  These are the anonymized manner of identifying the person upon whom measurements were made.
tBodyAcc-mean()-X,TimeDomain,Body,Acceleration,X,mean,TimeDomain.Body.Acceleration.X.mean,g,Time series of force decomposition along body orientation for motion of Accelerationtype.  Measure is projected along the reference system X-axis.  In raw data there a number of samples taken over the observation time window.  These sample values are aggr
tBodyAcc-mean()-Y,TimeDomain,Body,Acceleration,Y,mean,TimeDomain.Body.Acceleration.Y.mean,g,Time series of force decomposition along body orientation for motion of Accelerationtype.  Measure is projected along the reference system Y-axis.  In raw data there a number of samples taken over the observation time window.  These sample values are aggr
tBodyAcc-mean()-Z,TimeDomain,Body,Acceleration,Z,mean,TimeDomain.Body.Acceleration.Z.mean,g,Time series of force decomposition along body orientation for motion of Accelerationtype.  Measure is projected along the reference system Z-axis.  In raw data there a number of samples taken over the observation time window.  These sample values are aggr
tBodyAcc-std()-X,TimeDomain,Body,Acceleration,X,std,TimeDomain.Body.Acceleration.X.std,g,Time series of force decomposition along body orientation for motion of Accelerationtype.  Measure is projected along the reference system X-axis.  In raw data there a number of samples taken over the observation time window.  These sample values are aggr
tBodyAcc-std()-Y,TimeDomain,Body,Acceleration,Y,std,TimeDomain.Body.Acceleration.Y.std,g,Time series of force decomposition along body orientation for motion of Accelerationtype.  Measure is projected along the reference system Y-axis.  In raw data there a number of samples taken over the observation time window.  These sample values are aggr
tBodyAcc-std()-Z,TimeDomain,Body,Acceleration,Z,std,TimeDomain.Body.Acceleration.Z.std,g,Time series of force decomposition along body orientation for motion of Accelerationtype.  Measure is projected along the reference system Z-axis.  In raw data there a number of samples taken over the observation time window.  These sample values are aggr
tGravityAcc-mean()-X,TimeDomain,Gravity,Acceleration,X,mean,TimeDomain.Gravity.Acceleration.X.mean,g,Time series of force decomposition along gravity vector for motion of Accelerationtype.  Measure is projected along the reference system X-axis.  In raw data there a number of samples taken over the observation time window.  These sample values are aggreg
tGravityAcc-mean()-Y,TimeDomain,Gravity,Acceleration,Y,mean,TimeDomain.Gravity.Acceleration.Y.mean,g,Time series of force decomposition along gravity vector for motion of Accelerationtype.  Measure is projected along the reference system Y-axis.  In raw data there a number of samples taken over the observation time window.  These sample values are aggreg
tGravityAcc-mean()-Z,TimeDomain,Gravity,Acceleration,Z,mean,TimeDomain.Gravity.Acceleration.Z.mean,g,Time series of force decomposition along gravity vector for motion of Accelerationtype.  Measure is projected along the reference system Z-axis.  In raw data there a number of samples taken over the observation time window.  These sample values are aggreg
tGravityAcc-std()-X,TimeDomain,Gravity,Acceleration,X,std,TimeDomain.Gravity.Acceleration.X.std,g,Time series of force decomposition along gravity vector for motion of Accelerationtype.  Measure is projected along the reference system X-axis.  In raw data there a number of samples taken over the observation time window.  These sample values are aggreg
