TidySet VarNames,,Min.,1st Quantile,Median,Mean,3rd Quantile,Max
activity,,"Walking, Walking Upstairs, Walking Downstairs, Sitting, Standing, Laying",,,,,
subjectID,Integer values 1-30,1.0,8.0,15.5,15.5,23.0,30.0
TimeDomain.Body.Acceleration.X.mean,,0.2216,0.2712,0.2770,0.2743,0.2800,0.3015
TimeDomain.Body.Acceleration.Y.mean,,-0.040514,-0.020022,-0.017262,-0.017876,-0.014936,-0.001308
TimeDomain.Body.Acceleration.Z.mean,,-0.15251,-0.11207,-0.10819,-0.10916,-0.10443,-0.07538
TimeDomain.Body.Acceleration.X.std,,-0.9961,-0.9799,-0.7526,-0.5577,-0.1984,0.6269
TimeDomain.Body.Acceleration.Y.std,,-0.99024,-0.94205,-0.50897,-0.46046,-0.03077,0.61694
TimeDomain.Body.Acceleration.Z.std,,-0.9877,-0.9498,-0.6518,-0.5756,-0.2306,0.6090
TimeDomain.Gravity.Acceleration.X.mean,,-0.6800,0.8376,0.9208,0.6975,0.9425,0.9745
TimeDomain.Gravity.Acceleration.Y.mean,,-0.47989,-0.23319,-0.12782,-0.01621,0.08773,0.95659
TimeDomain.Gravity.Acceleration.Z.mean,,-0.49509,-0.11726,0.02384,0.07413,0.14946,0.95787
TimeDomain.Gravity.Acceleration.X.std,,-0.9968,-0.9825,-0.9695,-0.9638,-0.9509,-0.8296
TimeDomain.Gravity.Acceleration.Y.std,,-0.9942,-0.9711,-0.9590,-0.9524,-0.9370,-0.6436
TimeDomain.Gravity.Acceleration.Z.std,,-0.9910,-0.9605,-0.9450,-0.9364,-0.9180,-0.6102
TimeDomain.Body.AccelerationPlusAngVel.X.mean,,0.04269,0.07396,0.07640,0.07947,0.08330,0.13019
TimeDomain.Body.AccelerationPlusAngVel.Y.mean,,-0.0386872,0.0004664,0.0094698,0.0075652,0.0134008,0.0568186
TimeDomain.Body.AccelerationPlusAngVel.Z.mean,,-0.067458,-0.010601,-0.003861,-0.004953,0.001958,0.038053
TimeDomain.Body.AccelerationPlusAngVel.X.std,,-0.9946,-0.9832,-0.8104,-0.5949,-0.2233,0.5443
TimeDomain.Body.AccelerationPlusAngVel.Y.std,,-0.9895,-0.9724,-0.7756,-0.5654,-0.1483,0.3553
TimeDomain.Body.AccelerationPlusAngVel.Z.std,,-0.99329,-0.98266,-0.88366,-0.73596,-0.51212,0.03102
TimeDomain.Body.AngVel.X.mean,,-0.20578,-0.04712,-0.02871,-0.03244,-0.01676,0.19270
TimeDomain.Body.AngVel.Y.mean,,-0.20421,-0.08955,-0.07318,-0.07426,-0.06113,0.02747
